start_lat,start_lon,end_lat,end_lon,hour_of_day,vehicle_type,trip_distance,duration_min,fare
13.3444,74.7841,13.3279,74.7312,7,Auto,6.15,13.5,79
13.3586,74.7756,13.3221,74.7759,21,Auto,4.05,8.2,62
13.3642,74.7238,13.3509,74.7802,8,Sedan,6.43,9.0,166
13.3274,74.7566,13.3618,74.7971,16,Mini,5.9,4.1,121
13.3511,74.7638,13.3481,74.7753,7,Auto,1.32,4.3,41
13.3416,74.7539,13.3539,74.7991,17,Mini,5.2,13.7,160
13.3571,74.7476,13.3624,74.7441,13,Mini,0.71,2.3,59
13.3449,74.7552,13.345,74.7936,18,Bike,4.26,9.1,71
13.3353,74.7271,13.3269,74.7339,20,Mini,1.2,2.9,115
13.3531,74.7493,13.3259,74.7409,19,Auto,3.16,8.9,87
13.3643,74.7733,13.3461,74.7476,17,SUV,3.5,15.0,304
13.3639,74.7809,13.3484,74.7207,19,Bike,6.9,19.9,94
13.3531,74.7574,13.348,74.7402,22,Auto,1.99,8.6,46
13.3643,74.7923,13.3354,74.7927,20,Auto,3.21,15.0,92
13.3487,74.7958,13.3374,74.7749,6,Bike,2.64,8.6,33
13.3313,74.7844,13.3291,74.7498,7,Auto,3.85,8.9,61
13.3217,74.7415,13.3625,74.7683,12,Auto,5.42,20.2,73
13.3408,74.7629,13.358,74.7834,23,Sedan,2.97,7.9,115
13.3465,74.7627,13.3535,74.7941,11,SUV,3.57,7.8,213
13.3684,74.7589,13.3412,74.7575,11,Sedan,3.02,12.8,202
13.3613,74.7333,13.3357,74.7503,21,SUV,3.41,11.3,168
13.3583,74.7362,13.3352,74.7506,21,Auto,3.02,10.4,54
13.3594,74.7237,13.3634,74.7986,10,Bike,8.33,22.4,90
13.3686,74.7475,13.3413,74.7474,19,Auto,3.03,12.4,65
13.3531,74.7556,13.3448,74.7402,19,Auto,1.94,3.4,66
13.3249,74.7363,13.3613,74.7835,12,Bike,6.62,10.7,53
13.3663,74.7977,13.3426,74.7239,9,Bike,8.6,17.8,85
13.3566,74.7358,13.3421,74.7442,19,Auto,1.86,9.4,54
13.3342,74.7605,13.3271,74.751,16,Auto,1.32,2.8,41
13.3663,74.7617,13.3436,74.734,6,SUV,3.98,7.0,180
13.3326,74.7298,13.3649,74.7924,19,Auto,7.82,19.5,113
13.3408,74.7235,13.3238,74.7421,11,Mini,2.8,10.2,122
13.3584,74.7426,13.3238,74.7422,20,SUV,3.84,10.8,298
13.3232,74.7449,13.3381,74.785,20,Sedan,4.75,12.1,233
13.353,74.7454,13.3583,74.7465,19,Mini,0.6,5.7,93
13.3292,74.7461,13.3409,74.7552,13,SUV,1.65,6.8,133
13.3231,74.7211,13.3462,74.7817,16,Auto,7.2,17.7,88
13.3605,74.7724,13.3436,74.7356,19,SUV,4.49,10.5,255
13.3242,74.7561,13.3639,74.7291,7,Bike,5.33,11.5,47
13.3403,74.783,13.3335,74.7942,21,Mini,1.45,5.2,67
13.3506,74.7972,13.3555,74.7289,6,Mini,7.6,12.2,141
13.3363,74.7461,13.3583,74.7659,19,Mini,3.29,15.9,148
13.3585,74.7738,13.3449,74.7445,17,Bike,3.59,11.9,62
13.3657,74.7593,13.3603,74.7506,6,SUV,1.14,2.3,123
13.3303,74.7951,13.3663,74.7386,11,Mini,7.44,24.2,177
13.3326,74.7767,13.3673,74.7358,16,SUV,5.95,11.3,219
13.3316,74.73,13.367,74.7519,19,SUV,4.62,14.9,310
13.3354,74.7507,13.3469,74.7266,14,Bike,2.96,6.0,35
13.3267,74.7672,13.3443,74.7639,11,Sedan,1.99,8.6,148
13.3303,74.7776,13.3423,74.7378,11,Bike,4.61,17.2,74
13.3552,74.7513,13.3654,74.7712,9,Sedan,2.48,5.5,184
13.3497,74.7443,13.3471,74.7766,17,Mini,3.6,10.1,146
13.3624,74.7787,13.3407,74.7798,14,Bike,2.41,3.8,32
13.3296,74.7826,13.3598,74.7957,19,Auto,3.65,13.6,83
13.3407,74.7613,13.3579,74.7527,6,Bike,2.13,9.1,31
13.3202,74.7762,13.3275,74.7484,23,SUV,3.19,4.6,164
13.3518,74.7479,13.3493,74.795,7,Bike,5.24,2.0,46
13.3258,74.7546,13.3507,74.7207,15,Auto,4.67,11.8,67
13.3592,74.7866,13.3311,74.7502,19,SUV,5.1,14.3,276
13.3625,74.7744,13.3238,74.786,11,Mini,4.48,13.1,134
13.3413,74.7533,13.3224,74.7961,10,Bike,5.19,12.4,77
13.3492,74.7608,13.3689,74.765,14,SUV,2.24,6.7,145
13.3467,74.7397,13.3419,74.7308,11,Sedan,1.12,3.6,114
13.3326,74.7693,13.3571,74.78,7,Sedan,2.97,5.1,115
13.339,74.7704,13.344,74.7764,9,SUV,0.87,3.3,144
13.3239,74.7594,13.3407,74.7702,18,Sedan,2.22,10.6,146
13.34,74.7561,13.3529,74.7514,21,Mini,1.52,5.0,68
13.3243,74.735,13.3647,74.7972,22,SUV,8.23,13.3,265
13.3368,74.7341,13.3658,74.7647,7,Bike,4.68,9.2,43
13.3256,74.7618,13.3681,74.7952,23,Sedan,6.0,13.1,160
13.3551,74.7827,13.3339,74.7622,20,Sedan,3.27,10.1,206
13.3571,74.7464,13.3661,74.7251,6,Auto,2.57,9.0,51
13.3658,74.7967,13.3259,74.7763,23,Sedan,4.97,12.6,145
13.3255,74.7922,13.3581,74.7678,16,Bike,4.52,6.7,43
13.3266,74.7269,13.3592,74.7504,17,Mini,4.46,15.7,125
13.342,74.7243,13.3687,74.7825,19,SUV,7.11,17.4,359
13.3646,74.7611,13.3465,74.7282,22,Mini,4.17,2.0,100
13.3414,74.7335,13.3504,74.7529,15,SUV,2.37,4.5,147
13.3686,74.7563,13.3214,74.7564,8,Sedan,5.24,7.2,149
13.3292,74.7445,13.3555,74.7984,18,SUV,6.66,12.7,343
13.3367,74.7673,13.3491,74.7996,20,Mini,3.84,14.1,159
13.3619,74.7297,13.3341,74.7825,20,Mini,6.62,23.6,205
13.3426,74.7689,13.3498,74.7215,8,Mini,5.32,12.1,114
13.3596,74.7523,13.3492,74.7497,21,SUV,1.19,4.2,124
13.3469,74.7294,13.3486,74.7392,15,Bike,1.1,5.1,26
13.3427,74.7703,13.3481,74.723,22,SUV,5.28,13.5,206
13.3437,74.7427,13.3314,74.7633,6,Mini,2.66,4.4,82
13.3601,74.728,13.3493,74.7477,21,Mini,2.49,7.2,80
13.3646,74.7495,13.3303,74.7654,18,Mini,4.2,17.7,167
13.3252,74.7457,13.3652,74.7423,12,Auto,4.46,10.5,66
13.3258,74.7826,13.3587,74.73,12,Mini,6.89,10.5,133
