start_lat,start_lon,end_lat,end_lon,hour_of_day,vehicle_type,trip_distance,duration_min,fare
16.1673,74.8317,16.1667,74.82,17,Auto,1.3,3.2,62
16.1715,74.8184,16.1639,74.8169,8,Sedan,0.86,2.0,83
16.1514,74.8171,16.1804,74.8332,17,Mini,3.68,8.9,146
16.1607,74.8195,16.1839,74.8404,12,Sedan,3.47,6.3,122
16.1568,74.8137,16.155,74.8046,6,Mini,1.03,3.0,62
16.1623,74.8055,16.1855,74.8448,11,Mini,5.07,9.8,146
16.1568,74.8069,16.1823,74.807,18,SUV,2.83,5.1,227
16.1404,74.808,16.1744,74.8188,17,SUV,3.96,9.5,273
16.1648,74.8076,16.1637,74.8257,21,Auto,2.01,5.6,46
16.1611,74.8413,16.1663,74.836,10,Auto,0.82,2.0,54
16.1732,74.8403,16.1788,74.8131,22,Sedan,3.08,5.9,116
16.1497,74.8154,16.1412,74.8056,9,Bike,1.44,3.3,40
16.1724,74.8252,16.1624,74.8449,13,Bike,2.45,5.4,32
16.1828,74.812,16.1813,74.8159,23,Bike,0.46,2.0,22
16.1467,74.8242,16.155,74.8354,10,SUV,1.55,4.4,187
16.1696,74.8397,16.1804,74.8032,22,Bike,4.23,6.2,41
16.155,74.84,16.1464,74.8001,8,Bike,4.53,5.5,43
16.1715,74.8258,16.1501,74.8344,10,Mini,2.56,8.3,125
16.1884,74.8165,16.1648,74.8313,14,Sedan,3.09,3.5,116
16.1548,74.805,16.1897,74.8213,7,SUV,4.28,7.7,186
16.1789,74.812,16.179,74.8172,14,Bike,0.58,2.8,23
16.1661,74.8325,16.1793,74.8262,8,SUV,1.62,2.3,132
16.1765,74.8445,16.1606,74.8014,21,SUV,5.1,9.5,202
16.1562,74.8475,16.1744,74.846,22,Bike,2.03,3.5,30
16.1473,74.8168,16.1493,74.8138,10,SUV,0.4,2.0,145
16.1461,74.8406,16.1797,74.8091,9,Auto,5.11,12.3,96
16.1521,74.8157,16.1605,74.8367,18,Sedan,2.51,6.1,141
16.1584,74.8363,16.1433,74.8346,10,SUV,1.69,2.8,181
16.1492,74.8362,16.1562,74.807,10,SUV,3.33,8.3,228
16.1623,74.8213,16.1877,74.8021,10,Auto,3.53,8.9,78
16.1709,74.8312,16.1744,74.8213,18,Mini,1.17,5.0,86
16.1594,74.8477,16.1865,74.8357,9,Mini,3.29,10.6,141
16.1776,74.8378,16.1403,74.8147,21,Auto,4.87,8.8,69
16.1565,74.8421,16.1623,74.8223,6,Auto,2.29,5.2,48
16.1599,74.8457,16.1539,74.8305,14,SUV,1.81,2.6,136
16.1868,74.8067,16.1523,74.8043,6,Mini,3.84,7.1,96
16.1498,74.8324,16.1862,74.8374,23,Bike,4.08,6.8,40
16.1785,74.8255,16.1653,74.8035,10,Auto,2.85,8.0,74
16.1828,74.8172,16.1752,74.819,18,SUV,0.87,2.0,163
16.1546,74.8044,16.1718,74.8153,22,Sedan,2.26,4.9,104
16.1591,74.833,16.1655,74.845,11,Mini,1.51,4.7,107
16.168,74.8473,16.1549,74.8154,21,SUV,3.83,7.0,177
16.1715,74.8262,16.1746,74.8318,14,Bike,0.71,2.5,24
16.1729,74.8192,16.1836,74.8103,21,Mini,1.54,4.0,68
16.1653,74.8475,16.1679,74.8418,17,Sedan,0.7,2.0,126
16.1512,74.8216,16.1573,74.8119,12,Auto,1.27,3.6,40
16.1403,74.836,16.1791,74.804,9,Sedan,5.58,12.2,236
16.1745,74.8047,16.1661,74.8386,20,Bike,3.88,7.0,60
16.1843,74.8035,16.1598,74.8145,19,SUV,2.98,7.4,220
16.1809,74.8376,16.1615,74.8261,17,Auto,2.5,7.4,65
16.1424,74.8179,16.1818,74.8479,19,Sedan,5.5,11.8,224
16.1635,74.8217,16.1819,74.8186,6,Bike,2.07,2.0,30
16.1441,74.8359,16.18,74.8366,22,SUV,3.99,6.2,180
16.1877,74.8433,16.1553,74.8152,11,SUV,4.76,11.4,289
16.171,74.828,16.176,74.818,7,Bike,1.24,3.6,26
16.186,74.8479,16.1443,74.8188,17,Bike,5.64,12.5,73
16.1706,74.808,16.1732,74.8418,13,SUV,3.76,6.4,175
16.148,74.84,16.1503,74.8043,19,Sedan,3.97,8.1,194
16.1652,74.8116,16.1536,74.8298,10,Auto,2.4,8.0,74
16.1741,74.8161,16.1672,74.837,15,SUV,2.44,4.8,149
