start_lat,start_lon,end_lat,end_lon,hour_of_day,vehicle_type,trip_distance,duration_min,fare
13.351,74.7518,13.3408,74.751,13,Bike,1.14,2.7,26
13.3402,74.7487,13.3561,74.7324,14,Auto,2.53,5.9,50
13.3599,74.7648,13.3479,74.7337,18,Sedan,3.7,8.4,191
13.3408,74.7613,13.3341,74.7435,17,SUV,2.11,5.0,215
13.3452,74.748,13.3517,74.7341,13,SUV,1.7,4.5,134
13.3435,74.7496,13.3542,74.7341,18,Sedan,2.09,4.1,146
13.3364,74.758,13.3494,74.7705,15,SUV,2.0,3.4,140
13.3486,74.7578,13.3473,74.7775,19,Bike,2.19,5.3,44
13.3569,74.7413,13.3581,74.7385,14,Mini,0.34,2.0,54
13.3335,74.7519,13.3425,74.7321,12,Auto,2.41,6.6,49
13.3303,74.7634,13.3573,74.7738,15,Auto,3.21,5.4,56
13.3322,74.7315,13.3589,74.751,22,Bike,3.67,6.8,38
13.3387,74.7477,13.3504,74.7461,16,Bike,1.31,3.5,27
13.3561,74.7534,13.3372,74.752,18,SUV,2.1,4.2,192
13.3444,74.7729,13.3573,74.7413,9,Bike,3.79,6.7,61
13.3311,74.7689,13.3437,74.7452,15,SUV,2.98,4.2,160
13.3596,74.731,13.3478,74.7624,22,Bike,3.72,6.6,39
13.3554,74.7637,13.3413,74.7734,13,Sedan,1.9,4.0,98
13.3584,74.7686,13.3533,74.7302,20,Bike,4.3,8.3,60
13.3442,74.7583,13.3372,74.7642,22,Sedan,1.02,3.7,85
13.356,74.7574,13.3599,74.7542,13,Sedan,0.56,2.0,78
13.3594,74.7792,13.3539,74.749,18,SUV,3.41,7.5,229
13.3396,74.7603,13.3321,74.7503,11,Mini,1.39,4.4,106
13.3344,74.7304,13.3478,74.7368,12,Sedan,1.65,3.8,95
13.35,74.735,13.345,74.7583,6,SUV,2.65,4.7,153
13.3564,74.7661,13.3384,74.7471,7,Mini,2.91,6.9,85
13.3331,74.7559,13.3481,74.7677,23,Bike,2.12,2.1,31
13.3565,74.7634,13.3518,74.7698,16,Auto,0.88,2.5,37
13.3496,74.7553,13.3395,74.7666,8,Auto,1.68,5.2,43
13.3567,74.7573,13.353,74.7339,16,Auto,2.63,6.6,51
13.3332,74.7733,13.3521,74.7758,20,Bike,2.12,5.3,41
13.342,74.7438,13.3341,74.7448,18,Sedan,0.88,2.0,115
13.34,74.7572,13.3572,74.7333,7,Auto,3.27,6.1,56
13.3422,74.7769,13.353,74.7658,8,SUV,1.72,4.8,134
13.3489,74.7746,13.3587,74.7577,7,Auto,2.17,3.5,47
13.3587,74.7552,13.3482,74.733,7,Bike,2.73,4.6,34
13.3599,74.7723,13.3447,74.7647,10,Sedan,1.89,4.9,136
13.3387,74.7614,13.3346,74.7518,15,Auto,1.16,2.7,39
13.3349,74.7379,13.3363,74.7364,12,Mini,0.23,2.0,53
13.3575,74.7357,13.348,74.7478,22,Mini,1.71,4.3,71
13.3301,74.7398,13.3421,74.7695,15,Auto,3.56,7.2,58
13.3361,74.7533,13.3534,74.7696,21,Auto,2.64,7.3,51
13.356,74.7376,13.349,74.7744,12,Bike,4.16,6.3,41
13.3515,74.7633,13.3484,74.7685,16,Auto,0.67,2.0,35
13.3463,74.7603,13.3556,74.762,21,Mini,1.05,2.0,63
13.336,74.756,13.3522,74.7761,8,Bike,2.87,3.9,34
13.3428,74.7362,13.3304,74.7783,7,Auto,4.87,11.2,69
13.3441,74.7778,13.3465,74.7301,18,Auto,5.3,14.9,112
13.35,74.7559,13.3312,74.7352,21,Sedan,3.1,4.9,116
13.3356,74.7414,13.3349,74.7652,14,SUV,2.64,3.7,153
13.3548,74.7498,13.3551,74.7702,6,SUV,2.26,5.5,145
13.3472,74.7695,13.3539,74.7749,14,Auto,0.96,2.0,38
13.3445,74.7698,13.331,74.7753,19,Bike,1.62,4.9,44
13.3377,74.7352,13.3544,74.7486,13,Bike,2.38,3.9,32
13.3591,74.7445,13.3385,74.7579,22,Sedan,2.73,5.2,111
13.3506,74.7585,13.355,74.7513,9,Auto,0.94,4.2,55
13.3488,74.7742,13.3587,74.7333,15,SUV,4.67,7.9,193
13.3568,74.7471,13.3546,74.7351,22,SUV,1.35,2.0,127
13.3415,74.745,13.3568,74.7476,13,Mini,1.72,4.1,71
13.3508,74.7612,13.351,74.7513,11,Mini,1.1,3.7,82
13.3444,74.7377,13.3401,74.7548,20,Bike,1.96,5.9,46
13.3567,74.7515,13.3489,74.7437,12,SUV,1.22,2.0,124
13.3503,74.7791,13.3507,74.7753,13,Mini,0.42,2.0,55
13.3381,74.7393,13.3462,74.7679,20,SUV,3.3,8.4,238
13.3592,74.7585,13.3507,74.7663,16,Auto,1.28,2.7,40
13.3411,74.756,13.3466,74.7497,9,SUV,0.93,2.0,165
13.3524,74.7493,13.3454,74.731,21,Mini,2.17,5.3,76
13.356,74.777,13.3575,74.7769,17,Sedan,0.17,2.0,106
13.3504,74.7692,13.3507,74.7314,18,Bike,4.2,8.2,56
13.339,74.757,13.355,74.7584,14,Mini,1.78,3.8,71
13.3351,74.7479,13.3585,74.7322,10,Mini,3.13,8.1,129
13.3385,74.7716,13.353,74.762,9,Sedan,1.93,5.9,145
13.3476,74.7489,13.3359,74.7487,8,Auto,1.3,2.2,40
13.3518,74.7733,13.3328,74.741,16,Bike,4.16,4.8,41
13.3474,74.7669,13.3524,74.7341,13,Sedan,3.68,5.6,125
13.3444,74.7689,13.3348,74.7407,9,SUV,3.31,7.4,242
13.3416,74.7359,13.3586,74.7419,18,Sedan,2.0,4.7,149
13.3313,74.774,13.334,74.7737,11,Mini,0.3,2.0,81
13.3341,74.78,13.3349,74.7411,12,Mini,4.32,6.3,102
13.3501,74.7758,13.3417,74.7641,8,Auto,1.6,3.8,43
13.3486,74.7511,13.3388,74.776,18,Mini,2.97,5.8,112
13.3564,74.7514,13.3482,74.7616,13,SUV,1.45,3.0,129
13.3555,74.7789,13.3574,74.735,11,SUV,4.88,12.1,313
13.3392,74.7452,13.3383,74.7518,13,Bike,0.74,2.0,24
13.3549,74.7381,13.335,74.756,10,Mini,2.97,7.0,128
13.3318,74.7402,13.3393,74.73,7,Mini,1.41,3.8,67
13.3487,74.7583,13.3315,74.7687,9,Sedan,2.23,5.8,160
13.3371,74.7648,13.3471,74.7335,14,Auto,3.65,6.9,59
13.3347,74.7535,13.3383,74.7704,6,Sedan,1.92,4.4,99
13.3536,74.7572,13.3597,74.7767,18,Auto,2.27,7.6,69
13.3543,74.7537,13.331,74.7743,10,Auto,3.45,9.9,91
13.3428,74.7307,13.3575,74.7703,16,SUV,4.69,8.4,194
13.3564,74.7405,13.3497,74.7704,7,Auto,3.4,8.7,57
13.3335,74.7616,13.3411,74.7472,10,SUV,1.81,5.6,207
13.3319,74.7378,13.346,74.7508,7,Bike,2.13,3.1,31
13.3585,74.7657,13.3473,74.7496,6,Sedan,2.18,3.2,103
13.3552,74.7472,13.3494,74.7772,21,Bike,3.39,5.3,37
13.3578,74.7727,13.339,74.7585,19,Auto,2.62,8.2,68
13.3534,74.7432,13.3486,74.7715,15,Auto,3.19,8.4,56
13.3507,74.7565,13.3547,74.7583,7,Sedan,0.49,2.0,77
13.3597,74.7423,13.3324,74.7433,21,SUV,3.03,4.5,161
13.3539,74.7355,13.3303,74.7367,13,Mini,2.62,5.2,81
13.3366,74.7464,13.3333,74.766,19,Auto,2.21,6.8,62
13.3432,74.7719,13.3532,74.7344,21,SUV,4.31,7.3,186
13.3398,74.7669,13.3546,74.7656,19,Sedan,1.65,4.7,134
13.3561,74.7777,13.3456,74.7498,7,SUV,3.31,4.4,166
13.3313,74.761,13.3499,74.754,7,SUV,2.21,5.0,144
13.3415,74.7527,13.3597,74.7677,21,SUV,2.62,5.9,152
13.347,74.7766,13.3424,74.7601,17,Sedan,1.9,4.4,154
13.3585,74.7408,13.345,74.7437,8,Sedan,1.53,2.0,93
13.348,74.7673,13.3418,74.7522,9,Sedan,1.81,4.5,134
13.3388,74.7311,13.3395,74.7585,16,Mini,3.04,5.7,86
13.3431,74.7576,13.3401,74.7614,10,Mini,0.54,3.2,78
13.3343,74.7636,13.3413,74.761,8,Mini,0.83,2.0,60
13.3445,74.7401,13.3461,74.7733,10,Mini,3.69,7.3,129
13.3351,74.741,13.3487,74.7491,6,Sedan,1.76,4.6,96
13.3407,74.7768,13.3408,74.7557,8,Auto,2.34,5.1,49
13.3438,74.7416,13.3353,74.7431,19,SUV,0.96,2.5,184
13.3409,74.7434,13.3355,74.75,16,SUV,0.95,2.1,119
13.3317,74.7585,13.3537,74.7557,11,SUV,2.46,6.1,195
13.3498,74.7466,13.3458,74.7566,21,Mini,1.2,3.5,64
13.3554,74.7611,13.3509,74.7446,18,Auto,1.9,7.1,66
13.3331,74.7398,13.3562,74.7542,13,Bike,3.02,5.5,35
13.3381,74.7399,13.3567,74.7649,12,SUV,3.46,7.1,169
